iter	Passed	Remaining
0	170	170657
1	198	99037
2	237	78809
3	273	68048
4	303	60305
5	330	54765
6	354	50304
7	382	47368
8	413	45481
9	444	44039
10	474	42686
11	501	41282
12	530	40287
13	559	39379
14	581	38206
15	610	37538
16	636	36795
17	657	35892
18	678	35037
19	711	34846
20	736	34328
21	761	33846
22	789	33532
23	810	32980
24	840	32790
25	863	32344
26	892	32170
27	921	31983
28	946	31676
29	972	31436
30	996	31137
31	1022	30928
32	1044	30602
33	1070	30421
34	1095	30210
35	1120	30009
36	1157	30125
37	1195	30254
38	1221	30101
39	1251	30032
40	1283	30027
41	1312	29945
42	1334	29703
43	1361	29591
44	1385	29408
45	1413	29324
46	1440	29204
47	1464	29053
48	1489	28908
49	1517	28826
50	1547	28795
51	1568	28595
52	1646	29421
53	1695	29709
54	1721	29573
55	1748	29470
56	1772	29323
57	1799	29228
58	1822	29072
59	1847	28947
60	1869	28785
61	1897	28706
62	1918	28532
63	1946	28465
64	1972	28370
65	1995	28233
66	2017	28097
67	2041	27976
68	2066	27888
69	2092	27801
70	2114	27672
71	2137	27550
72	2157	27394
73	2178	27259
74	2196	27093
75	2215	26936
76	2239	26850
77	2258	26697
78	2285	26644
79	2306	26521
80	2326	26396
81	2345	26254
82	2366	26146
83	2384	25998
84	2404	25879
85	2428	25813
86	2449	25704
87	2468	25585
88	2489	25478
89	2513	25409
90	2530	25279
91	2549	25163
92	2569	25062
93	2589	24960
94	2607	24838
95	2627	24742
96	2648	24651
97	2667	24548
98	2685	24437
99	2703	24327
100	2727	24278
101	2746	24177
102	2764	24078
103	2782	23973
104	2801	23879
105	2818	23774
106	2838	23685
107	2858	23606
108	2877	23523
109	2897	23439
110	2919	23378
111	2940	23315
112	2960	23235
113	2978	23150
114	2997	23068
115	3018	23003
116	3041	22952
117	3060	22874
118	3079	22795
119	3097	22715
120	3118	22655
121	3139	22592
122	3157	22514
123	3176	22441
124	3197	22382
125	3222	22352
126	3243	22295
127	3263	22231
128	3283	22172
129	3301	22093
130	3320	22027
131	3339	21960
132	3359	21899
133	3381	21852
134	3401	21797
135	3422	21743
136	3442	21683
137	3465	21646
138	3483	21576
139	3502	21513
140	3523	21467
141	3543	21411
142	3562	21350
143	3582	21295
144	3600	21232
145	3618	21168
146	3642	21135
147	3661	21080
148	3680	21023
149	3700	20970
150	3724	20941
151	3743	20886
152	3763	20833
153	3782	20777
154	3802	20731
155	3821	20674
156	3842	20632
157	3861	20577
158	3877	20510
159	3895	20453
160	3916	20407
161	3941	20386
162	3959	20332
163	3979	20286
164	3996	20224
165	4019	20192
166	4038	20146
167	4057	20095
168	4078	20052
169	4096	19998
170	4120	19976
171	4139	19927
172	4156	19869
173	4176	19825
174	4198	19793
175	4220	19760
176	4240	19715
177	4259	19668
178	4278	19624
179	4300	19593
180	4319	19544
181	4339	19502
182	4358	19459
183	4380	19427
184	4398	19376
185	4417	19332
186	4438	19294
187	4456	19246
188	4477	19212
189	4498	19179
190	4519	19143
191	4540	19106
192	4560	19067
193	4580	19028
194	4598	18984
195	4616	18938
196	4638	18905
197	4656	18863
198	4677	18828
199	4698	18792
200	4717	18753
201	4740	18728
202	4760	18690
203	4780	18655
204	4799	18612
205	4819	18575
206	4839	18538
207	4860	18507
208	4879	18465
209	4898	18428
210	4920	18399
211	4939	18358
212	4960	18327
213	4980	18293
214	5002	18265
215	5023	18233
216	5044	18200
217	5063	18164
218	5085	18135
219	5104	18098
220	5124	18061
221	5142	18020
222	5159	17977
223	5187	17970
224	5206	17934
225	5227	17903
226	5247	17869
227	5268	17840
228	5289	17808
229	5313	17789
230	5335	17762
231	5356	17733
232	5376	17699
233	5397	17670
234	5417	17637
235	5436	17599
236	5455	17563
237	5474	17526
238	5495	17498
239	5514	17463
240	5534	17431
241	5559	17414
242	5580	17384
243	5599	17350
244	5626	17339
245	5646	17307
246	5667	17276
247	5688	17249
248	5708	17218
249	5726	17179
250	5745	17145
251	5765	17113
252	5784	17079
253	5805	17050
254	5824	17016
255	5843	16983
256	5863	16950
257	5883	16921
258	5903	16891
259	5923	16859
260	5942	16827
261	5962	16794
262	5983	16766
263	6007	16748
264	6027	16716
265	6048	16689
266	6068	16660
267	6089	16633
268	6109	16602
269	6129	16571
270	6151	16546
271	6173	16522
272	6213	16547
273	6249	16560
274	6282	16562
275	6312	16559
276	6338	16543
277	6361	16520
278	6380	16488
279	6400	16458
280	6419	16424
281	6441	16399
282	6462	16371
283	6483	16344
284	6502	16312
285	6520	16278
286	6540	16247
287	6558	16214
288	6579	16186
289	6598	16154
290	6617	16123
291	6636	16091
292	6662	16075
293	6682	16046
294	6705	16024
295	6726	15997
296	6746	15969
297	6766	15939
298	6787	15913
299	6811	15893
300	6831	15864
301	6855	15844
302	6874	15814
303	6893	15782
304	6912	15751
305	6932	15723
306	6956	15702
307	6977	15676
308	7001	15657
309	7022	15630
310	7043	15603
311	7065	15580
312	7087	15555
313	7120	15556
314	7155	15559
315	7189	15562
316	7220	15556
317	7245	15539
318	7267	15514
319	7284	15479
320	7302	15447
321	7323	15419
322	7345	15396
323	7364	15366
324	7386	15340
325	7405	15310
326	7423	15278
327	7443	15250
328	7463	15221
329	7481	15190
330	7503	15165
331	7524	15139
332	7544	15111
333	7563	15081
334	7583	15054
335	7602	15024
336	7621	14993
337	7641	14967
338	7662	14941
339	7681	14911
340	7701	14882
341	7724	14862
342	7743	14832
343	7762	14803
344	7782	14774
345	7799	14742
346	7821	14718
347	7841	14690
348	7861	14664
349	7886	14645
350	7908	14622
351	7943	14623
352	7975	14617
353	8005	14608
354	8025	14580
355	8048	14560
356	8068	14532
357	8088	14504
358	8107	14475
359	8133	14459
360	8153	14431
361	8172	14403
362	8192	14376
363	8211	14348
364	8231	14321
365	8251	14293
366	8270	14265
367	8289	14235
368	8314	14218
369	8334	14191
370	8353	14161
371	8371	14131
372	8390	14103
373	8413	14082
374	8432	14054
375	8451	14026
376	8474	14004
377	8495	13979
378	8514	13951
379	8534	13924
380	8553	13896
381	8574	13871
382	8593	13843
383	8615	13820
384	8639	13801
385	8710	13855
386	8743	13849
387	8764	13823
388	8784	13797
389	8804	13771
390	8825	13746
391	8846	13721
392	8866	13694
393	8887	13669
394	8906	13641
395	8925	13613
396	8944	13585
397	8963	13557
398	8987	13537
399	9008	13512
400	9029	13488
401	9050	13463
402	9070	13436
403	9091	13412
404	9114	13390
405	9134	13364
406	9155	13339
407	9173	13311
408	9196	13288
409	9216	13263
410	9236	13236
411	9256	13210
412	9276	13185
413	9297	13160
414	9316	13133
415	9335	13105
416	9354	13078
417	9373	13050
418	9394	13027
419	9414	13001
420	9434	12974
421	9453	12948
422	9475	12924
423	9496	12900
424	9516	12874
425	9536	12849
426	9555	12822
427	9575	12796
428	9597	12773
429	9619	12751
430	9641	12729
431	9662	12704
432	9682	12678
433	9702	12653
434	9725	12631
435	9744	12605
436	9763	12578
437	9782	12552
438	9804	12529
439	9823	12503
440	9843	12477
441	9861	12449
442	9883	12427
443	9904	12403
444	9925	12379
445	9945	12353
446	9964	12327
447	9984	12302
448	10010	12284
449	10030	12259
450	10050	12234
451	10071	12210
452	10094	12189
453	10115	12165
454	10136	12141
455	10154	12114
456	10173	12087
457	10194	12063
458	10213	12037
459	10232	12012
460	10253	11988
461	10276	11967
462	10296	11942
463	10317	11918
464	10335	11891
465	10354	11865
466	10376	11843
467	10398	11820
468	10417	11794
469	10437	11769
470	10456	11743
471	10475	11718
472	10498	11696
473	10517	11671
474	10537	11646
475	10556	11620
476	10575	11595
477	10598	11574
478	10618	11549
479	10642	11529
480	10662	11505
481	10682	11479
482	10702	11456
483	10725	11435
484	10744	11409
485	10763	11383
486	10781	11357
487	10800	11331
488	10823	11310
489	10842	11285
490	10862	11260
491	10881	11235
492	10903	11213
493	10923	11188
494	10942	11163
495	10960	11137
496	10980	11113
497	11006	11095
498	11026	11070
499	11045	11045
500	11065	11021
501	11089	11001
502	11109	10977
503	11131	10954
504	11150	10929
505	11170	10905
506	11190	10881
507	11209	10856
508	11229	10832
509	11250	10809
510	11269	10783
511	11288	10759
512	11308	10735
513	11330	10713
514	11354	10692
515	11374	10668
516	11395	10646
